year,month,pdsi
2010,1,2.23
2010,2,2.84
2010,3,3.01
2010,4,3.33
2010,5,3.14
2010,6,2.86
2010,7,3.97
2010,8,3.68
2010,9,0
2010,10,2.16
2010,11,1.13
2010,12,-0.25
2011,1,-1.19
2011,2,-1.67
2011,3,-2.86
2011,4,-3.2
2011,5,-3.43
2011,6,-3.67
2011,7,-3.59
2011,8,-3.89
2011,9,0
2011,10,-4.35
2011,11,-4.01
2011,12,-2.1
2012,1,-1.76
2012,2,-1.71
2012,3,-1.59
2012,4,-1.54
2012,5,-0.34
2012,6,-1.03
2012,7,-1.72
2012,8,-2.8
2012,9,0
2012,10,-3.36
2012,11,-3.71
2012,12,-3.69
2013,1,-3.47
2013,2,-3.42
2013,3,-3.77
2013,4,-3.89
2013,5,-3.95
2013,6,-4.13
2013,7,-2.29
2013,8,-2.01
2013,9,0
2013,10,0.91
2013,11,0.55
2013,12,0.13
2014,1,-0.81
2014,2,-2.31
2014,3,-2.63
2014,4,-2.8
2014,5,-2.98
2014,6,-3.45
2014,7,-3.26
2014,8,-1.81
2014,9,0
2014,10,2.43
2014,11,2.13
2014,12,1.47
2015,1,2.36
2015,2,1.88
2015,3,1.63
2015,4,1.62
2015,5,2.06
2015,6,1.63
2015,7,3.49
2015,8,2.33
2015,9,0
2015,10,2.29
2015,11,2.47
2015,12,2.59
2016,1,2.48
2016,2,1.86
2016,3,0.7
2016,4,0.56
2016,5,0.77
2016,6,0.22
2016,7,-1.93
2016,8,-0.26
2016,9,0
2016,10,0.19
2016,11,-0.18
2016,12,0.29
2017,1,2.69
2017,2,2.65
2017,3,2.24
2017,4,2.05
2017,5,1.97
2017,6,1.96
2017,7,2.73
2017,8,3.61
2017,9,0
2017,10,2.14
2017,11,1.2
2017,12,0.13
2018,1,-1.05
